athlete_key,geography_key,time_key,events_entered,sports_entered
432,59,2019,1,1
434,171,2019,1,1
443,171,2019,2,1
454,-1,2015,3,1
454,-1,2016,3,1
454,-1,2017,1,1
454,-1,2018,1,1
454,-1,2019,3,1
454,-1,2022,3,1
454,-1,2024,3,1
454,256,2025,3,1
458,-1,2015,2,1
458,-1,2016,1,1
458,-1,2017,1,1
458,-1,2018,1,1
459,-1,2015,1,1
459,-1,2016,1,1
461,-1,2015,3,1
461,-1,2016,1,1
461,-1,2017,1,1
461,-1,2018,1,1
462,-1,2022,3,1
462,-1,2024,3,1
462,256,2025,3,1
465,-1,2018,3,1
465,-1,2019,3,1
465,-1,2022,3,1
465,-1,2024,3,1
465,255,2015,6,1
466,-1,2015,5,1
466,-1,2016,1,1
466,-1,2017,1,1
466,-1,2018,1,1
466,-1,2019,3,1
466,-1,2022,3,1
466,-1,2024,3,1
466,256,2025,3,1
467,-1,2019,1,1
472,-1,2015,3,1
472,-1,2016,3,1
472,-1,2017,1,1
472,-1,2018,1,1
473,-1,2019,1,1
474,-1,2015,2,1
474,-1,2019,1,1
474,-1,2024,1,1
479,-1,2017,1,1
479,-1,2018,1,1
479,-1,2019,3,1
479,-1,2022,3,1
479,-1,2024,3,1
479,256,2025,3,1
482,-1,2016,1,1
482,-1,2017,1,1
482,-1,2018,1,1
483,256,2025,3,1
484,-1,2015,5,1
485,-1,2015,1,1
485,-1,2016,1,1
485,-1,2017,1,1
485,-1,2018,1,1
486,-1,2015,2,1
486,-1,2016,2,1
486,-1,2018,3,1
486,-1,2019,1,1
488,-1,2015,1,1
488,-1,2017,3,1
488,-1,2022,3,1
490,-1,2015,2,1
490,-1,2017,3,1
490,-1,2018,3,1
490,-1,2019,3,1
490,-1,2024,3,1
490,256,2025,3,1
493,-1,2017,2,1
493,-1,2018,2,1
493,-1,2019,1,1
493,-1,2024,1,1
494,-1,2019,1,1
494,-1,2024,1,1
495,-1,2019,1,1
497,-1,2016,1,1
504,-1,2017,3,1
505,-1,2016,2,1
505,-1,2017,3,1
505,-1,2018,3,1
505,-1,2022,3,1
505,-1,2024,3,1
505,256,2025,3,1
511,291,2015,2,1
511,291,2016,2,1
511,291,2017,2,1
511,291,2018,2,1
511,291,2019,2,1
511,291,2022,2,1
511,291,2023,2,1
511,291,2024,2,1
511,291,2025,2,1
513,291,2018,3,1
513,291,2019,3,1
515,291,2015,3,1
515,291,2016,3,1
515,291,2017,3,1
517,291,2015,2,1
517,291,2016,2,1
517,291,2017,1,1
517,291,2018,1,1
517,291,2019,1,1
517,291,2022,1,1
517,291,2023,1,1
517,291,2024,1,1
517,291,2025,1,1
518,291,2019,2,1
518,291,2022,2,1
518,291,2023,2,1
518,291,2024,2,1
518,291,2025,2,1
519,291,2022,2,1
519,291,2023,2,1
520,291,2015,1,1
520,291,2018,1,1
520,291,2019,1,1
520,291,2023,1,1
520,291,2025,1,1
521,291,2015,2,1
521,291,2016,2,1
521,291,2017,3,1
521,291,2018,3,1
521,291,2022,3,1
523,291,2015,1,1
523,291,2016,1,1
523,291,2017,1,1
523,291,2019,1,1
523,291,2022,1,1
523,291,2023,1,1
523,291,2024,1,1
525,291,2023,2,1
525,291,2024,2,1
525,291,2025,2,1
526,291,2015,3,1
526,291,2016,1,1
526,291,2017,2,1
526,291,2018,2,1
526,291,2019,2,1
526,291,2022,2,1
526,291,2023,3,1
526,291,2025,2,1
530,291,2015,3,1
530,291,2016,3,1
530,291,2017,3,1
530,291,2018,3,1
530,291,2019,3,1
530,291,2022,2,1
530,291,2023,3,1
530,291,2024,3,1
530,291,2025,3,1
534,291,2016,3,1
534,291,2017,3,1
534,291,2018,3,1
534,291,2019,3,1
534,291,2022,3,1
534,291,2023,3,1
534,291,2024,3,1
534,291,2025,3,1
535,291,2023,2,1
535,291,2024,2,1
535,291,2025,2,1
538,291,2015,2,1
538,291,2016,2,1
538,291,2017,2,1
538,291,2025,2,1
540,291,2017,1,1
540,291,2018,1,1
540,291,2019,1,1
540,291,2025,1,1
541,291,2015,2,1
541,291,2016,2,1
541,291,2017,2,1
541,291,2018,2,1
541,291,2019,2,1
541,291,2022,2,1
541,291,2023,2,1
542,291,2015,2,1
542,291,2016,2,1
542,291,2017,2,1
542,291,2018,2,1
542,291,2019,2,1
542,291,2022,2,1
542,291,2023,2,1
542,291,2024,2,1
542,291,2025,2,1
543,291,2016,3,1
543,291,2017,3,1
543,291,2018,3,1
543,291,2022,3,1
543,291,2023,3,1
543,291,2024,3,1
543,291,2025,3,1
547,291,2015,3,1
547,291,2016,3,1
547,291,2017,3,1
547,291,2018,3,1
547,291,2019,3,1
547,291,2022,3,1
547,291,2023,3,1
547,291,2024,3,1
547,291,2025,3,1
548,291,2015,3,1
548,291,2016,3,1
548,291,2017,3,1
548,291,2018,3,1
548,291,2019,3,1
548,291,2023,3,1
548,291,2024,3,1
548,291,2025,3,1
549,291,2015,3,1
549,291,2016,3,1
549,291,2017,3,1
549,291,2018,3,1
549,291,2019,3,1
549,291,2022,3,1
549,291,2023,3,1
549,291,2024,3,1
549,291,2025,3,1
551,291,2022,3,1
551,291,2023,3,1
552,291,2018,3,1
552,291,2019,3,1
552,291,2022,3,1
552,291,2023,3,1
552,291,2024,3,1
552,291,2025,3,1
554,291,2015,3,1
554,291,2016,3,1
554,291,2017,3,1
554,291,2018,3,1
554,291,2019,3,1
554,291,2022,3,1
554,291,2023,3,1
554,291,2024,3,1
556,291,2015,3,1
556,291,2016,3,1
557,291,2025,2,1
558,291,2015,3,1
558,291,2017,3,1
558,291,2018,3,1
558,291,2019,3,1
558,291,2022,3,1
558,291,2023,3,1
558,291,2024,3,1
558,291,2025,3,1
